id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director
995,Little Odessa,N/A,James Gray,United States,0,venice,1994,https://en.wikipedia.org/wiki/Little_Odessa_(film),https://en.wikipedia.org/wiki/James_Gray_(film_director)
996,Magic Hunter,Büvös vadász,Ildikó Enyedi,"Canada, Hungary",0,venice,1994,https://en.wikipedia.org/wiki/Magic_Hunter,https://en.wikipedia.org/wiki/Ildik%C3%B3_Enyedi
997,Natural Born Killers,N/A,Oliver Stone,United States,0,venice,1994,https://en.wikipedia.org/wiki/Natural_Born_Killers,https://en.wikipedia.org/wiki/Oliver_Stone
998,The Pack,Il branco,Marco Risi,Italy,0,venice,1994,https://en.wikipedia.org/wiki/Il_branco,https://en.wikipedia.org/wiki/Marco_Risi
999,Pigalle,N/A,Karim Dridi,France,0,venice,1994,https://en.wikipedia.org/wiki/Pigalle_(film),https://en.wikipedia.org/wiki/Karim_Dridi
1000,A Shadow You Soon Will Be,Una sombra ya pronto serás,Héctor Olivera,Argentina,0,venice,1994,https://en.wikipedia.org/wiki/A_Shadow_You_Soon_Will_Be,https://en.wikipedia.org/wiki/H%C3%A9ctor_Olivera_(film_director)
1001,Somebody to Love,N/A,Alexandre Rockwell,United States,0,venice,1994,https://en.wikipedia.org/wiki/Somebody_to_Love_(1994_film),https://en.wikipedia.org/wiki/Alexandre_Rockwell
1002,The Tit and the Moon,La Teta y la luna,Bigas Luna,Spain,0,venice,1994,https://en.wikipedia.org/wiki/The_Tit_and_the_Moon,https://en.wikipedia.org/wiki/Bigas_Luna
1003,"Two Brothers, My Sister",Três Irmãos,Teresa Villaverde,Portugal,0,venice,1994,https://en.wikipedia.org/wiki/Tr%C3%AAs_Irm%C3%A3os,https://en.wikipedia.org/wiki/Teresa_Villaverde
1004,Vive L'Amour,N/A,Tsai Ming-liang,Taiwan,1,venice,1994,https://en.wikipedia.org/wiki/Vive_L%27Amour,https://en.wikipedia.org/wiki/Tsai_Ming-liang
1005,Cardiogram,Kardiogramma,Darezhan Omirbayev,Kazakhstan,0,venice,1995,https://en.wikipedia.org/wiki/Cardiogram,https://en.wikipedia.org/wiki/Darezhan_Omirbayev
1006,La Cérémonie,N/A,Claude Chabrol,"France, Germany",0,venice,1995,https://en.wikipedia.org/wiki/La_C%C3%A9r%C3%A9monie,https://en.wikipedia.org/wiki/Claude_Chabrol
1007,Clockers,N/A,Spike Lee,United States,0,venice,1995,https://en.wikipedia.org/wiki/Clockers_(film),https://en.wikipedia.org/wiki/Spike_Lee
1008,The Crossing Guard,N/A,Sean Penn,United States,0,venice,1995,https://en.wikipedia.org/wiki/The_Crossing_Guard,https://en.wikipedia.org/wiki/Sean_Penn
1009,Cyclo,Xich lo,Anh Hung Tran,"France, Vietnam",1,venice,1995,https://en.wikipedia.org/wiki/Cyclo_(film),https://en.wikipedia.org/wiki/Anh_Hung_Tran
1010,Deathmaker,Der Totmacher,Romuald Karmakar,Germany,0,venice,1995,https://en.wikipedia.org/wiki/Deathmaker,https://en.wikipedia.org/wiki/Romuald_Karmakar
1011,The Flying Dutchman,De Vliegende Hollander,Jos Stelling,Netherlands,0,venice,1995,https://en.wikipedia.org/wiki/The_Flying_Dutchman_(1995_film),https://en.wikipedia.org/wiki/Jos_Stelling
1012,God's Comedy,A Comédia de Deus,João César Monteiro,Portugal,0,venice,1995,https://en.wikipedia.org/wiki/God%27s_Comedy,https://en.wikipedia.org/wiki/Jo%C3%A3o_C%C3%A9sar_Monteiro
1013,Guantanamera,N/A,"Tomás Gutiérrez Alea, Juan Carlos Tabío",Cuba,0,venice,1995,https://en.wikipedia.org/wiki/Guantanamera_(film),https://en.wikipedia.org/wiki/Tom%C3%A1s_Guti%C3%A9rrez_Alea https://en.wikipedia.org/wiki/Juan_Carlos_Tab%C3%ADo
1014,In the Bleak Midwinter,N/A,Kenneth Branagh,United Kingdom,0,venice,1995,https://en.wikipedia.org/wiki/In_the_Bleak_Midwinter_(film),https://en.wikipedia.org/wiki/Kenneth_Branagh
1015,Maborosi,Maboroshi no hikari,Hirokazu Koreeda,Japan,0,venice,1995,https://en.wikipedia.org/wiki/Maborosi,https://en.wikipedia.org/wiki/Hirokazu_Koreeda
1016,Nothing Personal,N/A,Thaddeus O'Sullivan,"Ireland, United Kingdom",0,venice,1995,https://en.wikipedia.org/wiki/Nothing_Personal_(1995_film),https://en.wikipedia.org/wiki/Thaddeus_O%27Sullivan
1017,N/A,Romanzo di un giovane povero,Ettore Scola,Italy,0,venice,1995,https://en.wikipedia.org/wiki/Romanzo_di_un_giovane_povero,https://en.wikipedia.org/wiki/Ettore_Scola
1018,Sender Unknown,Sin remitente,Carlos Carrera,Mexico,0,venice,1995,https://en.wikipedia.org/wiki/Sin_remitente,https://en.wikipedia.org/wiki/Carlos_Carrera
1019,The Star Maker,L'Uomo delle stelle,Giuseppe Tornatore,Italy,0,venice,1995,https://en.wikipedia.org/wiki/The_Star_Maker_(1995_film),https://en.wikipedia.org/wiki/Giuseppe_Tornatore
1020,Who Killed Pasolini?,"Pasolini, un delitto italiano",Marco Tullio Giordana,"Italy, France",0,venice,1995,https://en.wikipedia.org/wiki/Who_Killed_Pasolini%3F,https://en.wikipedia.org/wiki/Marco_Tullio_Giordana
1021,Basquiat,N/A,Julian Schnabel,United States,0,venice,1996,https://en.wikipedia.org/wiki/Basquiat_(film),https://en.wikipedia.org/wiki/Julian_Schnabel
1022,Brigands,"Brigands, chapitre VII",Otar Iosseliani,"France, Russia, Italy, Switzerland, Georgia",0,venice,1996,https://en.wikipedia.org/wiki/Brigands_(film),https://en.wikipedia.org/wiki/Otar_Iosseliani
1023,Buddha Bless America,Tai Ping Tian Guo,Wu Nien-jen,Taiwan,0,venice,1996,https://en.wikipedia.org/w/index.php?title=Tai_Ping_Tian_Guo_(film)&action=edit&redlink=1,https://en.wikipedia.org/wiki/Wu_Nien-jen
1024,Carla's Song,N/A,Ken Loach,United Kingdom,0,venice,1996,https://en.wikipedia.org/wiki/Carla%27s_Song,https://en.wikipedia.org/wiki/Ken_Loach
1025,Chronicle of a Disappearance,N/A,Elia Suleiman,"Israel, Palestine",0,venice,1996,https://en.wikipedia.org/wiki/Chronicle_of_a_Disappearance,https://en.wikipedia.org/wiki/Elia_Suleiman
1026,Deep Crimson,Profundo carmesí,Arturo Ripstein,Mexico,0,venice,1996,https://en.wikipedia.org/wiki/Deep_Crimson,https://en.wikipedia.org/wiki/Arturo_Ripstein
1027,For Ever Mozart,N/A,Jean-Luc Godard,"France, Switzerland",0,venice,1996,https://en.wikipedia.org/wiki/For_Ever_Mozart,https://en.wikipedia.org/wiki/Jean-Luc_Godard
